,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,center_distance,last_fixed
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,98178,1340,5650,-0.1317666118559641,0.05508474576271186
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,98125,1690,7639,-0.14980654191322934,0.011284046692607004
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,98028,2720,8062,-0.11283354997517056,0.11298701298701298
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,98136,1360,5000,-0.22175130213821512,0.02806122448979592
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,98074,1800,7503,-0.15556104910934637,0.019642857142857142
5,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,98053,4760,101930,-0.19673893869796813,0.0035055350553505533
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,98003,2238,6819,-0.3445592692121407,0.014577259475218658
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,98198,1650,9711,-0.2486870523368665,0.05377358490566038
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,98146,1780,8113,-0.1806164167510804,0.033707865168539325
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,98038,2390,7570,-0.311441101975959,0.008994708994708995
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,98007,2210,8925,-0.06231765399949443,0.01544943820224719
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,98115,1330,6000,-0.10983624174196416,0.06724137931034482
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,98028,1780,12697,-0.1290993415939807,0.06503496503496503
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,98074,1370,10208,-0.1559624634327137,0.031386861313868614
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,98107,1360,4850,-0.1980807915977605,0.06629834254143646
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,98126,2140,4000,-0.18455069764159562,0.013898305084745762
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,98019,1890,14018,-0.25727279296497524,0.013756613756613757
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,98103,1610,4300,-0.14717350304995777,0.065
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,98002,1060,5095,-0.32125567699264185,0.0825
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,98003,1280,8850,-0.31412495921209604,0.0408
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,98133,1400,4980,-0.15854731155084661,0.04506172839506173
21,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,98040,4110,20336,-0.10378612624045738,0.017049180327868854
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,98092,2240,7005,-0.3049796058755445,0.011013215859030838
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,98030,1220,8386,-0.27878107898493276,0.03271028037383177
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,98030,2200,6865,-0.2576261050437268,0.014285714285714285
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,98002,1030,4705,-0.3256977740175715,0.046198830409356725
26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,98119,1760,3573,-0.16023095830706002,0.04285714285714286
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,98112,1860,3861,-0.11427340022943981,0.07928571428571428
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,98115,1520,6235,-0.12264175471673397,0.04736842105263158
29,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,98052,2630,6026,-0.11863932737503055,0.005836575875486381
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,98027,2580,3980,-0.1586278979246822,0.007327586206896552
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,98133,1390,1756,-0.18475865338328115,0.012605042016806723
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,98117,1460,5000,-0.17595252200521844,0.03905579399141631
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,98117,1570,5080,-0.18464617515669887,0.0834862385321101
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,98058,2020,8720,-0.2069172781572411,0.018932038834951457
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,98115,1590,3264,-0.121972496899913,0.00782608695652174
36,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,98052,2160,11467,-0.07519581105354003,0.05240963855421687
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,98107,1730,4700,-0.1669132708924065,0.04915254237288136
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,98001,1290,7800,-0.3070518034469154,0.04180327868852459
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,98056,2620,11884,-0.10188233409183793,0.00916030534351145
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,98074,2470,5669,-0.17369297625408092,0.007782101167315175
41,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,98166,2410,30617,-0.2362921919996564,0.008530805687203791
42,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,98053,3625,5639,-0.19198708289882188,0.0016689847009735744
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,98119,1580,2640,-0.1643888378205643,0.062420382165605096
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,98058,1340,8808,-0.18321367307054406,0.04765625
45,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,98019,3050,9232,-0.25058629252215603,0.005379746835443038
46,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,98023,1228,8840,-0.3658258602122079,0.05454545454545454
47,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,98007,2680,13685,-0.05013342198573056,0.01703056768558952
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,98115,970,5100,-0.11252182010614487,0.0536
49,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,98070,2680,72513,-0.3376859635815556,0.024337086814384307
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,98148,1190,9364,-0.23786895551963066,0.0546218487394958
51,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,98056,1990,9133,-0.13704218328675516,0.017142857142857144
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,98117,1410,4080,-0.19088383902258096,0.04964539007092199
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,98117,1480,6738,-0.18250536978401175,0.019696969696969695
54,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,98105,2730,6000,-0.08541317228624837,0.03406593406593406
55,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,98105,1950,5000,-0.09477388880910455,0.0088339222614841
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,98042,2250,4500,-0.2773692304492375,0.005333333333333333
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,98042,2690,4750,-0.27499398175232537,0.0070247933884297524
58,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,98008,2960,11044,-0.09391485505499474,0.016
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,98059,2270,8542,-0.13417082395216032,0.015675675675675675
60,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,98166,2570,18900,-0.24061163729130072,0.028372093023255815
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,98148,1290,8750,-0.23585707536556771,0.05238095238095238
